Institution,Program,Degree Type,Country,Decision,Notification Date,Notification Method,Undergrad GPA,GRE General,GRE Verbal,Analytical Writing,Notes,Details URL
Arizona State University,Animal Behavior,PhD,American,Accepted,on 17/04/2024,E-mail,0.0,0,0,0.0,"Was waiting on funding decisions / pseudo waitlist but the portal never changed from ""In Review""",https://www.thegradcafe.com/result/937684
Arizona State University,Animal Behavior,PhD,American,Accepted,on 15/02/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/926889
Arizona State University,Animal Behavior,PhD,American,Interview,on 10/01/2024,E-mail,3.8,0,0,0.0,,https://www.thegradcafe.com/result/904168
Arizona State University,Anthropology,PhD,American,Accepted,on 30/01/2024,Website,3.74,0,0,0.0,"Anthropology UG GPA: 4.0
Master's GPA: 3.89
Anthropology Master's GPA: 4.0
Was waitlisted 2 years ago and was rejected. This time, I got accepted.",https://www.thegradcafe.com/result/910523
Arizona State University,Astrophysics,PhD,International,Accepted,on 22/04/2024,E-mail,3.09,0,0,0.0,"I thought I had failed to get in for another yearâ€”late acceptance after mostly radio silenceâ€”instrumentation specialization and lots of hands-on undergraduate research but from a very small university. Be disheartened, it's impossible not to feel that way, but no matter what do not give up. Remember this whole system is luck-based as much as it is based on your hard work.",https://www.thegradcafe.com/result/938094
Arizona State University,Astrophysics,PhD,International,Wait listed,on 14/04/2024,E-mail,3.89,0,0,0.0,"I still haven't received any decisions, is there anyone who already got offer from them in this field?",https://www.thegradcafe.com/result/937191
Arizona State University,Astrophysics,PhD,American,Accepted,on 01/04/2024,E-mail,3.4,0,0,0.0,,https://www.thegradcafe.com/result/935765
Arizona State University,Astrophysics,PhD,American,Interview,on 30/01/2024,E-mail,0.0,0,0,0.0,Emailed directly by prof interested in working with me,https://www.thegradcafe.com/result/910207
Arizona State University,Biomedical Informatics,PhD,International,Accepted,on 20/05/2024,E-mail,0.0,0,0,0.0,Received an admission offer for the MS program. I would like to ask if there is a possibility of transferring to the PhD program,https://www.thegradcafe.com/result/938353
Arizona State University,Biomedical Informatics,PhD,American,Interview,on 26/03/2024,E-mail,0.0,0,0,0.0,"Received request for interview, interview is next week.",https://www.thegradcafe.com/result/934943
Arizona State University,Biomedical Informatics,PhD,American,Wait listed,on 22/01/2024,E-mail,0.0,0,0,0.0,"They said via email they were still going through applications and did not have an ETA on interviews. That was Jan 22, 2024. I emailed follow up this week Feb 21, 2024, but have gotten no response.",https://www.thegradcafe.com/result/923810
Arizona State University,Chemistry,PhD,American,Accepted,on 20/12/2024,E-mail,3.75,0,0,0.0,"3 years of research, NIH MARC T34 scholar, 0 publications, but two manuscripts in progress. Met with professor of interest before receiving emailed acceptance.",https://www.thegradcafe.com/result/940430
Arizona State University,Chemistry,PhD,American,Accepted,on 20/12/2024,E-mail,3.89,0,0,0.0,"2 summer research experiences (1 at Grinnell College, 1 at ASU)",https://www.thegradcafe.com/result/940313
Arizona State University,Civil Engineering,PhD,International,Accepted,on 17/11/2023,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/902848
Arizona State University,"Civil, Environmental & Sustainable Engineering",PhD,International,Accepted,on 10/01/2024,E-mail,3.2,167,153,4.0,,https://www.thegradcafe.com/result/913900
Arizona State University,Clinical Psychology,PhD,American,Wait listed,on 21/02/2024,Other,0.0,0,0,0.0,IGNORE STATUS. Has anyone heard from ASU after interview day?,https://www.thegradcafe.com/result/922619
Arizona State University,Clinical Psychology,PhD,American,Rejected,on 02/02/2024,Other,0.0,0,0,0.0,"No email, but I checked the portal and saw the status updated to ""We regret we were unable to admit you.""",https://www.thegradcafe.com/result/912243
Arizona State University,Clinical Psychology,PhD,American,Wait listed,on 18/01/2024,Other,0.0,0,0,0.0,Ignore Status -- has anyone received anything from ASU for clinical psychology PhD?,https://www.thegradcafe.com/result/905964
Arizona State University,Communication,PhD,International,Rejected,on 20/02/2024,E-mail,0.0,0,0,0.0,"Even though I fully prepared my documents, I was also rejected.",https://www.thegradcafe.com/result/922134
Arizona State University,Comparative Culture And Language,PhD,American,Accepted,on 12/02/2024,E-mail,0.0,0,0,0.0,"Originally a rejection, but accepted with help of POI. :) Dream program! 3.52 BA GPA, 3.5 MA GPA. Bachelors in History & Italian, Masters in Pre-Modern European History. SO EXCITED",https://www.thegradcafe.com/result/917199
Arizona State University,Comparative Culture And Language,PhD,American,Rejected,on 09/02/2024,E-mail,0.0,0,0,0.0,genuinely might kms at this point,https://www.thegradcafe.com/result/915867
Arizona State University,Comparative Culture And Language,PhD,American,Interview,on 30/01/2024,Other,0.0,0,0,0.0,IGNORE STATUS. Has anyone heard from ASU about the CCL program? Anyone? Bueller? (if I don't laugh i will cry),https://www.thegradcafe.com/result/910146
Arizona State University,Comparative Culture And Language,PhD,International,Accepted,on 30/04/2023,E-mail,0.0,0,0,0.0,I don't have a gre and my undergraduate degree is one in software engineering. GPA 3.3/5.0,https://www.thegradcafe.com/result/903626
Arizona State University,Computer Science,PhD,International,Accepted,on 30/09/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/938960
Arizona State University,Computer Science,PhD,International,Wait listed,on 18/03/2024,E-mail,0.0,0,0,0.0,"If you don't plan to join please decline your offer
-- someone desperately in need of this",https://www.thegradcafe.com/result/933220
Arizona State University,Computer Science,PhD,International,Accepted,on 02/02/2024,E-mail,0.0,0,0,0.0,PhD CS. Is this program fully funded?,https://www.thegradcafe.com/result/912621
Arizona State University,Computer Science,PhD,International,Wait listed,on 26/01/2024,E-mail,0.0,0,0,0.0,"Ignore waitlist, anyone get SCAI PhD Open House invitation. Did I get in!? or it is sent to all applicants?",https://www.thegradcafe.com/result/909072
Arizona State University,Counseling Psychology,PhD,American,Accepted,on 24/01/2024,E-mail,4.0,0,0,0.0,Interpersonal Interview Day with January 12th. Received admissions decision via phone call with a follow up official letter through email.,https://www.thegradcafe.com/result/910470
Arizona State University,Counseling Psychology,PhD,American,Rejected,on 19/01/2024,E-mail,0.0,0,0,0.0,Notified via email. Bummed but at least they sent the rejection earlier this year. Last cycle I didn't hear back until late April (obviously already knew I was rejected at that point),https://www.thegradcafe.com/result/906351
Arizona State University,Counseling Psychology,PhD,International,Rejected,on 19/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/906292
Arizona State University,Counseling Psychology,PhD,American,Interview,on 15/01/2024,E-mail,0.0,0,0,0.0,ignore the status. - Has anyone heard back from ASU for the interview?,https://www.thegradcafe.com/result/905056
Arizona State University,Counseling Psychology,PhD,International,Interview,on 20/12/2023,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/902778
Arizona State University,Criminal Justice,PhD,International,Rejected,on 23/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/908135
Arizona State University,Developmental Psychology,PhD,American,Interview,on 05/01/2024,E-mail,3.9,0,0,0.0,"Email from dept for interviews. Scheduled Jan 25/26. They are flexible, allow Jan 25 interviews only (I have a conflict on the 26th).",https://www.thegradcafe.com/result/904807
Arizona State University,Earth & Planetary Science,PhD,American,Accepted,on 22/01/2024,E-mail,4.0,0,0,0.0,,https://www.thegradcafe.com/result/907410
Arizona State University,East Asian Languages And Cultures,PhD,International,Accepted,on 08/02/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/916832
Arizona State University,East Asian Languages And Cultures,PhD,International,Accepted,on 08/02/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/915247
Arizona State University,Economics,PhD,International,Wait listed,on 15/04/2024,E-mail,0.0,0,0,0.0,"Please if you have a dominant offer, decline it soon will be very helpful. Wish you good luck!!!",https://www.thegradcafe.com/result/937314
Arizona State University,Economics,PhD,International,Wait listed,on 13/04/2024,E-mail,0.0,0,0,0.0,ASU is my top choice now. Please reject it asap if you have dominant offer. Thank you so much!!!,https://www.thegradcafe.com/result/937126
Arizona State University,Economics,PhD,American,Rejected,on 08/03/2024,E-mail,3.8,168,159,5.0,Not what I expected,https://www.thegradcafe.com/result/930716
Arizona State University,Economics,PhD,International,Accepted,on 07/03/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/930190
Arizona State University,Economics,PhD,International,Accepted,on 07/03/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/929986
Arizona State University,Economics,PhD,International,Accepted,on 07/03/2024,E-mail,3.92,0,0,0.0,GradGPA is 4.0,https://www.thegradcafe.com/result/929855
Arizona State University,Economics,PhD,International,Interview,on 05/03/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/928596
Arizona State University,Economics,PhD,International,Interview,on 22/02/2024,E-mail,3.95,170,163,5.0,,https://www.thegradcafe.com/result/923293
Arizona State University,Economics,PhD,International,Interview,on 22/02/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/923264
Arizona State University,Economics,PhD,International,Interview,on 18/02/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/921131
Arizona State University,Education Policy,PhD,International,Rejected,on 25/01/2024,E-mail,3.95,0,0,0.0,,https://www.thegradcafe.com/result/909537
Arizona State University,Education Policy,PhD,American,Rejected,on 25/01/2024,E-mail,3.94,0,0,0.0,,https://www.thegradcafe.com/result/908751
Arizona State University,Education Policy And Evaluation,PhD,American,Accepted,on 11/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/905455
Arizona State University,Electrical And Computer Engineering,PhD,International,Rejected,on 21/03/2024,E-mail,3.93,0,0,0.0,Rejected due to lack of funding in the lab.,https://www.thegradcafe.com/result/933889
Arizona State University,Electrical And Computer Engineering,PhD,International,Accepted,on 22/02/2024,E-mail,0.0,0,0,0.0,No funding,https://www.thegradcafe.com/result/926010
Arizona State University,Electrical Engineering,PhD,International,Rejected,on 07/03/2024,E-mail,0.0,0,0,0.0,Without managing professor this university don't take any student.,https://www.thegradcafe.com/result/929585
Arizona State University,Electrical Engineering,PhD,International,Accepted,on 28/02/2024,E-mail,3.75,168,154,4.0,,https://www.thegradcafe.com/result/927890
Arizona State University,Electrical Engineering,PhD,International,Accepted,on 07/02/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/920869
Arizona State University,Electrical Engineering,PhD,International,Accepted,on 31/01/2024,E-mail,3.74,0,0,0.0,,https://www.thegradcafe.com/result/914955
Arizona State University,English,PhD,International,Rejected,on 10/05/2024,E-mail,3.56,0,0,0.0,Grad GPA is 3.89. I was waitlisted initially.,https://www.thegradcafe.com/result/938232
Arizona State University,English,PhD,International,Accepted,on 03/04/2024,E-mail,0.0,0,0,0.0,Thanks to those who declined the offer! I was told that I was high on the waiting list.,https://www.thegradcafe.com/result/935830
Arizona State University,English,PhD,International,Wait listed,on 22/02/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/931574
Arizona State University,English,PhD,American,Rejected,on 31/01/2024,E-mail,3.42,0,0,0.0,,https://www.thegradcafe.com/result/928965
Arizona State University,English,PhD,International,Wait listed,on 21/02/2024,E-mail,3.56,0,0,0.0,Grad GPA is 3.87,https://www.thegradcafe.com/result/922902
Arizona State University,English,PhD,American,Rejected,on 31/01/2024,Website,4.0,0,0,0.0,,https://www.thegradcafe.com/result/910603
Arizona State University,Family And Human Development,PhD,American,Accepted,on 20/12/2023,E-mail,3.93,0,0,0.0,,https://www.thegradcafe.com/result/903443
Arizona State University,Family And Human Development,PhD,International,Accepted,on 15/12/2023,E-mail,0.0,0,0,0.0,"Email from the director of the graduate program, waiting for the official offer letter. No interview.",https://www.thegradcafe.com/result/902771
Arizona State University,Family And Human Development,PhD,International,Accepted,on 20/12/2023,E-mail,0.0,0,0,0.0,Admission email without any interviews after application submission. Had informal meeting with PI before submission.,https://www.thegradcafe.com/result/902281
Arizona State University,Finance,PhD,American,Interview,on 15/02/2024,E-mail,0.0,0,0,0.0,Second-round interview,https://www.thegradcafe.com/result/919860
Arizona State University,Geography,PhD,International,Accepted,on 10/02/2024,E-mail,3.76,0,0,0.0,Professor wants to take me for her project,https://www.thegradcafe.com/result/931840
Arizona State University,Geography,PhD,International,Accepted,on 08/02/2024,E-mail,3.72,0,0,0.0,,https://www.thegradcafe.com/result/918444
Arizona State University,Geography,PhD,International,Rejected,on 10/02/2024,Postal Service,0.0,0,0,0.0,no email,https://www.thegradcafe.com/result/916553
Arizona State University,Geography,PhD,International,Rejected,on 09/02/2024,Website,0.0,0,0,0.0,,https://www.thegradcafe.com/result/916498
Arizona State University,Geological Sciences,PhD,American,Interview,on 29/01/2024,E-mail,3.7,0,0,0.0,Planetary sciences focus with no previous experience in the field.,https://www.thegradcafe.com/result/922037
Arizona State University,Geological Sciences,PhD,American,Accepted,on 18/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/906133
Arizona State University,Geological Sciences,PhD,American,Interview,on 11/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/904556
Arizona State University,Geophysics,PhD,International,Interview,on 26/12/2024,E-mail,3.87,0,0,0.0,"Are there people here, who applied to Earth Sciences/Geology/Planetary Sciences/Geophysics PhD programs in USA? If yes, let's make a forum to discuss about the decision and the profiles. Also, is there anyone who has heard anything from WUSTL/WashU? Their deadline was December 1.",https://www.thegradcafe.com/result/940997
Arizona State University,History,PhD,American,Accepted,on 07/02/2024,E-mail,4.0,0,0,0.0,Personalized email which was welcoming and congratulatory. I am looking forward to the prospective student visit in March.,https://www.thegradcafe.com/result/914649
Arizona State University,Human Development,PhD,International,Interview,on 17/12/2024,E-mail,3.79,334,0,0.0,first round interview,https://www.thegradcafe.com/result/940161
Arizona State University,Law And Psychology,PhD,American,Accepted,on 21/02/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/923495
Arizona State University,Mathematics,PhD,International,Rejected,on 25/01/2024,E-mail,3.79,0,0,0.0,GRE Math: 810 (76%),https://www.thegradcafe.com/result/916666
Arizona State University,Mathematics,PhD,American,Accepted,on 24/01/2024,E-mail,3.93,168,162,4.0,"GRE Math: 740, Masters in Engineering GPA 4.0/4.0",https://www.thegradcafe.com/result/908664
Arizona State University,Mechanical Engineering,PhD,International,Accepted,on 31/01/2024,E-mail,3.61,162,152,3.0,,https://www.thegradcafe.com/result/910537
Arizona State University,Neuroscience,PhD,International,Interview,on 23/01/2024,E-mail,0.0,0,0,0.0,"IGNORE the status, did anyone hear about from ASU?",https://www.thegradcafe.com/result/907712
Arizona State University,Philosophy,PhD,International,Accepted,on 22/02/2024,E-mail,0.0,0,0,0.0,Out of the waitlist,https://www.thegradcafe.com/result/923328
Arizona State University,Philosophy,PhD,International,Accepted,on 30/01/2024,E-mail,3.74,0,0,0.0,,https://www.thegradcafe.com/result/910025
Arizona State University,Philosophy,PhD,International,Wait listed,on 29/01/2024,E-mail,3.4,0,0,0.0,Master's GPA is 3.6. Email from Professor Portmore. He said that ASU will admit three PhD students for this cycle...!,https://www.thegradcafe.com/result/909990
Arizona State University,Philosophy,PhD,International,Wait listed,on 29/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/909855
Arizona State University,Philosophy,PhD,International,Wait listed,on 29/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/909816
Arizona State University,Philosophy,PhD,International,Accepted,on 28/01/2024,E-mail,0.0,0,0,0.0,4.0 Grad,https://www.thegradcafe.com/result/909513
Arizona State University,Physics,PhD,International,Wait listed,on 21/03/2024,Other,0.0,0,0,0.0,Please decline if you are planning to attend other programs other than ASU. Thank you so much!,https://www.thegradcafe.com/result/933969
Arizona State University,Physics,PhD,American,Accepted,on 23/02/2024,E-mail,3.5,0,0,0.0,Master's w/ 3 publications,https://www.thegradcafe.com/result/925899
Arizona State University,Physics,PhD,American,Accepted,on 23/02/2024,E-mail,3.92,0,0,0.0,"Cosmology theory, Admissions officer emailed me directly",https://www.thegradcafe.com/result/924082
Arizona State University,Political Science,PhD,American,Rejected,on 15/02/2024,Website,0.0,0,0,0.0,randomly checked portal,https://www.thegradcafe.com/result/919463
Arizona State University,Population Health Science,PhD,International,Interview,on 15/02/2024,E-mail,4.0,0,0,0.0,Received an e-mail from Program coordinator.,https://www.thegradcafe.com/result/919700
